t,firm_id,firm_name,inbound_units,outbound_units,open_orders
0,0,firm0,0.0,0.0,0
0,1,firm1,0.0,0.0,0
0,2,firm2,0.0,0.0,0
0,3,firm3,0.0,0.0,0
0,4,firm4,0.0,0.0,0
0,5,firm6,0.0,0.0,0
0,6,firm7,0.0,0.0,0
0,7,firm11,0.0,0.0,0
0,8,firm12,0.0,0.0,0
0,9,firm13,0.0,0.0,0
0,10,firm14,0.0,0.0,0
0,11,firm17,0.0,0.0,0
0,12,firm19,0.0,0.0,0
0,13,firm22,0.0,0.0,0
0,14,firm23,0.0,0.0,0
0,15,firm24,0.0,0.0,0
0,16,firm26,0.0,0.0,0
0,17,firm27,0.0,0.0,0
0,18,firm28,0.0,0.0,0
0,19,firm29,0.0,0.0,0
0,20,firm30,0.0,0.0,0
0,21,firm32,0.0,0.0,0
0,22,firm33,0.0,0.0,0
0,23,firm34,0.0,0.0,0
0,24,firm36,0.0,0.0,0
0,25,firm37,0.0,0.0,0
0,26,firm38,0.0,0.0,0
0,27,firm39,0.0,0.0,0
0,28,firm41,0.0,0.0,0
0,29,firm42,0.0,0.0,0
0,30,firm43,0.0,0.0,0
0,31,firm45,0.0,0.0,0
0,32,firm46,0.0,0.0,0
0,33,firm47,0.0,0.0,0
0,34,firm48,0.0,0.0,0
0,35,firm49,0.0,0.0,0
0,36,firm51,0.0,0.0,0
0,37,firm52,0.0,0.0,0
0,38,firm53,0.0,0.0,0
0,39,firm54,0.0,0.0,0
0,40,firm55,0.0,0.0,0
0,41,firm56,0.0,0.0,0
0,42,firm57,0.0,0.0,0
0,43,firm58,0.0,0.0,0
0,44,firm59,0.0,0.0,0
0,45,firm60,0.0,0.0,4
0,46,firm61,0.0,0.0,0
0,47,firm62,0.0,0.0,0
0,48,firm63,0.0,0.0,0
0,49,firm64,0.0,0.0,2
0,50,firm65,0.0,0.0,0
0,51,firm66,0.0,0.0,0
0,52,firm67,0.0,0.0,2
0,53,firm68,0.0,0.0,0
0,54,firm69,0.0,0.0,0
0,55,firm70,0.0,0.0,8
0,56,firm71,0.0,0.0,0
0,57,firm72,0.0,0.0,0
0,58,firm74,0.0,0.0,0
0,59,firm76,0.0,0.0,0
0,60,firm78,0.0,0.0,0
0,61,firm79,0.0,0.0,0
0,62,firm80,0.0,0.0,13
0,63,firm81,0.0,0.0,3
0,64,firm82,0.0,0.0,0
0,65,firm83,0.0,0.0,1
0,66,firm85,0.0,0.0,2
0,67,firm87,0.0,0.0,0
0,68,firm88,0.0,0.0,0
0,69,firm91,0.0,0.0,1
0,70,firm92,0.0,0.0,1
0,71,firm93,0.0,0.0,2
0,72,firm95,0.0,0.0,4
0,73,firm96,0.0,0.0,6
0,74,firm97,0.0,0.0,0
0,75,firm98,0.0,0.0,2
0,76,firm99,0.0,0.0,1
0,77,firm100,0.0,0.0,0
0,78,firm101,0.0,0.0,0
0,79,firm103,0.0,0.0,2
0,80,firm106,0.0,0.0,0
0,81,firm107,0.0,0.0,6
0,82,firm108,0.0,0.0,13
0,83,firm109,0.0,0.0,2
0,84,firm110,0.0,0.0,4
0,85,firm111,0.0,0.0,0
0,86,firm113,0.0,0.0,2
0,87,firm114,0.0,0.0,3
0,88,firm115,0.0,0.0,5
0,89,firm116,0.0,0.0,1
0,90,firm117,0.0,0.0,1
0,91,firm118,0.0,0.0,2
0,92,firm119,0.0,0.0,3
0,93,firm120,0.0,0.0,3
0,94,firm121,0.0,0.0,4
0,95,firm122,0.0,0.0,4
0,96,firm123,0.0,0.0,4
0,97,firm124,0.0,0.0,6
0,98,firm125,0.0,0.0,3
0,99,firm126,0.0,0.0,4
0,100,firm127,0.0,0.0,2
0,101,firm130,0.0,0.0,4
0,102,firm131,0.0,0.0,2
0,103,firm132,0.0,0.0,8
0,104,firm134,0.0,0.0,4
0,105,firm135,0.0,0.0,4
0,106,firm136,0.0,0.0,2
0,107,firm137,0.0,0.0,2
0,108,firm138,0.0,0.0,5
0,109,firm140,0.0,0.0,7
0,110,firm142,0.0,0.0,6
0,111,firm143,0.0,0.0,4
